ID,height,height_inches,weight,pos
203518,6-6,78,190,Guard
203112,6-7,79,240,Forward
203500,7-0,84,255,Center
1628389,6-10,82,255,Center-Forward
201167,6-5,77,210,Guard
201582,7-2,86,248,Center
202332,6-11,83,253,Center
200746,6-11,83,260,Forward
1628386,6-11,83,234,Center
1628443,6-3,75,200,Guard
202329,6-9,81,220,Forward
1626147,6-6,78,230,Guard-Forward
203937,6-9,81,230,Forward
201583,6-10,82,240,Forward
1628387,6-10,82,262,Center
203507,6-11,83,222,Forward
2546,6-8,80,240,Forward
1628384,6-8,80,235,Forward
1627853,6-3,75,195,Guard
2772,6-8,80,215,Forward-Guard
201589,6-9,81,235,Forward
1628503,6-7,79,213,Guard
201600,7-0,84,255,Center
201571,6-0,72,183,Guard
202337,6-9,81,225,Forward
1628407,6-7,79,221,Forward
1627758,6-4,76,220,Guard
1627735,6-4,76,202,Guard
1628366,6-6,78,190,Guard
200826,6-0,72,185,Guard
203084,6-8,80,225,Forward
203115,6-6,78,190,Forward-Guard
201587,6-8,80,200,Guard-Forward
201573,6-3,75,200,Guard
203382,6-10,82,260,Center
203145,6-5,77,201,Guard
203078,6-5,77,207,Guard
1627736,6-5,77,196,Guard
201563,6-9,81,235,Forward
201158,6-5,77,210,Guard-Forward
1628395,6-9,81,224,Center-Forward
1627761,6-6,78,210,Forward-Guard
1627733,7-1,85,225,Forward
202722,6-10,82,210,Center-Forward
201976,6-1,73,185,Guard
203920,6-9,81,220,Center
1628444,6-6,78,198,Guard
202687,6-9,81,255,Center
202357,6-10,82,230,Forward
204028,6-9,81,250,Forward-Center
1628469,6-4,76,197,Guard
202339,6-1,73,205,Guard
203992,6-6,78,205,Guard
202711,6-8,80,230,Forward
1626164,6-6,78,210,Guard
202344,6-8,80,228,Forward
1628449,6-10,82,200,Forward
202340,6-2,74,180,Guard
1628396,6-10,82,248,Center
201147,6-9,81,186,Guard-Forward
1627763,6-5,77,215,Guard
201166,6-0,72,161,Guard
1628415,6-6,78,220,Forward-Guard
202705,6-5,77,200,Guard-Forward
1626148,6-7,79,224,Forward
1627759,6-7,79,225,Guard-Forward
203485,6-5,77,189,Guard
203900,6-3,75,190,Guard
1628425,6-6,78,230,Guard
1628418,6-10,82,248,Center
203493,6-7,79,205,Guard-Forward
203504,6-1,73,191,Guard
202692,6-6,78,214,Guard
202710,6-8,80,236,Guard
202779,6-3,75,190,Guard
203998,6-9,81,205,Forward
101181,6-3,75,200,Guard
203484,6-5,77,205,Guard
203991,6-10,82,240,Center
201960,6-8,80,215,Forward
203487,6-6,78,190,Guard
1713,6-6,78,220,Guard-Forward
1627936,6-5,77,186,Guard
1626161,7-0,84,240,Center
1628463,6-9,81,238,Forward
201596,6-2,74,190,Guard
2199,7-1,85,240,Center
201163,6-9,81,225,Forward
1627737,6-10,82,240,Forward
203546,6-3,75,175,Guard
203903,6-5,77,194,Guard
1628499,6-6,78,195,Guard
1628381,6-10,82,235,Forward-Center
1627858,6-6,78,210,Guard
1628380,7-0,84,230,Center-Forward
201954,6-2,74,185,Guard
2555,6-10,82,255,Forward
201144,6-1,73,175,Guard
1626192,6-5,77,210,Guard-Forward
1628429,6-5,77,196,Guard
1626188,6-2,74,179,Guard
204022,6-10,82,274,Center
1627856,6-10,82,240,Forward-Center
202326,6-11,83,270,Center
203496,6-9,81,225,Forward
203459,6-6,78,215,Guard-Forward
1628470,6-6,78,215,Guard-Forward
2037,6-5,77,185,Guard
202348,6-5,77,195,Guard
203109,6-6,78,235,Forward
201967,6-8,80,230,Forward
203552,6-2,74,185,Guard
201939,6-3,75,190,Guard
203584,6-4,76,205,Guard
203076,6-10,82,253,Forward-Center
1627738,6-11,83,237,Center-Forward
202334,6-10,82,245,Forward-Center
203473,7-0,84,245,Center
1626155,6-9,81,230,Forward
1627098,6-3,75,190,Guard
203521,6-4,76,198,Guard
2736,6-9,81,220,Forward
201942,6-7,79,220,Guard
1627767,6-9,81,220,Forward
203476,6-11,83,251,Center
203915,6-6,78,200,Guard
1628416,6-5,77,183,Guard
1628422,6-5,77,210,Guard
1628495,6-4,76,180,Guard
1628408,6-6,78,205,Guard
201609,6-3,75,190,Guard
203580,6-2,74,180,Guard
203083,6-11,83,279,Center
201162,6-7,79,240,Forward
1627739,6-4,76,210,Guard
201142,6-9,81,240,Forward
204067,6-7,79,218,Guard-Forward
1627740,6-11,83,245,Forward
201961,6-5,77,200,Guard
203954,7-0,84,250,Center
203516,6-7,79,210,Forward
203898,6-3,75,194,Guard
1628393,6-0,72,190,Guard
202379,6-9,81,200,Forward
201936,6-6,78,220,Guard-Forward
203957,6-6,78,190,Guard
202702,6-8,80,228,Forward
202324,6-10,82,265,Forward-Center
1627770,5-9,69,176,Guard
1626245,6-9,81,280,Center-Forward
101109,6-1,73,205,Guard
1628390,6-7,79,184,Guard
1627812,6-0,72,180,Guard
1627827,6-8,80,220,Forward
1627854,6-3,75,190,Guard
203095,6-7,79,205,Guard-Forward
1628368,6-3,75,175,Guard
204025,6-1,73,170,Guard
101112,6-11,83,255,Forward
1628365,6-4,76,200,Guard
201568,6-10,82,225,Forward
204038,6-2,74,200,Guard
201188,7-1,85,255,Center
2200,7-0,84,250,Center
200752,6-8,80,230,Forward
202331,6-9,81,220,Forward
1627875,6-5,77,226,Guard
1626780,6-2,74,185,Guard
201959,6-9,81,235,Forward
1628385,6-10,82,240,Forward-Center
1938,6-6,78,205,Guard
203497,7-1,85,245,Center
203932,6-9,81,220,Forward
201569,6-4,76,215,Guard
101162,6-11,83,240,Center
1626203,6-5,77,219,Guard-Forward
203924,6-9,81,220,Forward
1626170,6-4,76,198,Guard
201980,6-6,78,215,Guard-Forward
203110,6-7,79,230,Forward
101123,6-7,79,205,Guard-Forward
203210,6-9,81,227,Forward
201145,6-9,81,235,Forward
201933,6-10,82,251,Forward
1627772,6-7,79,195,Guard
203501,6-6,78,205,Forward-Guard
201935,6-5,77,220,Guard
203090,6-9,81,220,Forward
1626149,6-8,80,240,Forward-Center
2734,6-3,75,185,Guard
203914,6-4,76,210,Guard
203925,6-6,78,219,Forward-Guard
1626151,6-6,78,210,Guard
1626150,6-6,78,213,Guard
1627885,6-4,76,190,Guard
202699,6-9,81,235,Forward
1628404,6-5,77,215,Guard
2617,6-8,80,235,Forward
1628502,6-7,79,254,Forward
202330,6-8,80,226,Forward
203687,6-5,77,210,Guard
1627988,6-6,78,210,Forward
203089,6-11,83,229,Center
1627823,6-9,81,230,Forward
1626195,6-11,83,240,Center
1626209,6-8,80,218,Forward-Guard
1628439,6-9,81,242,Forward
1627741,6-4,76,214,Guard
201588,6-3,75,188,Guard
1626199,6-6,78,220,Guard
203524,6-7,79,225,Forward
201950,6-4,76,205,Guard
203200,6-6,78,185,Guard
1626178,6-7,79,214,Forward
1626158,6-10,82,235,Forward-Center
203918,6-8,80,206,Guard
201143,6-10,82,245,Forward-Center
1627863,6-7,79,220,Forward-Guard
2730,6-11,83,265,Center
203962,6-7,79,230,Guard
1626154,6-5,77,185,Guard
201586,6-10,82,235,Forward
2738,6-6,78,215,Forward-Guard
101141,6-10,82,235,Forward
204060,6-8,80,226,Forward
201281,6-3,75,190,Guard
1627742,6-9,81,190,Forward-Guard
202681,6-3,75,193,Guard
1628371,6-10,82,210,Forward
1628411,6-7,79,195,Forward
101127,6-3,75,200,Guard
1628935,6-3,75,183,Guard
1627743,6-1,73,201,Guard
1628402,6-3,75,205,Guard
1628367,6-8,80,200,Guard-Forward
1628382,6-8,80,210,Forward
202704,6-3,75,208,Guard
2544,6-8,80,250,Forward-Guard
2744,6-10,82,280,Center
1628518,6-9,81,224,Forward
2210,6-7,79,233,Forward
201943,6-1,73,170,Guard
201973,6-10,82,231,Forward
101161,6-9,81,240,Center-Forward
1626177,7-0,84,255,Center
201949,6-8,80,240,Forward
2207,6-7,79,240,Guard-Forward
204179,6-9,81,220,Forward
1626169,6-7,79,245,Forward
204020,6-4,76,190,Guard
202325,6-7,79,215,Forward
203999,6-10,82,250,Center
1627884,6-7,79,200,Forward-Guard
1627745,7-0,84,245,Center
1627883,6-7,79,220,Forward
1626145,6-2,74,184,Guard
201599,6-11,83,265,Center
202709,6-3,75,190,Guard
1626163,7-0,84,242,Forward-Center
202683,6-11,83,245,Center
1628379,6-5,77,200,Guard
203077,6-7,79,232,Forward
203930,6-4,76,212,Guard
1628467,6-11,83,220,Forward
202688,6-3,75,195,Guard
1627788,6-7,79,190,Guard-Forward
1628436,7-1,85,250,Forward-Center
2594,6-7,79,212,Guard
201585,7-0,84,265,Center
1628398,6-9,81,220,Forward
1627746,6-11,83,225,Forward-Center
203087,6-5,77,185,Guard
203499,5-11,71,175,Guard
203530,6-11,83,260,Center
203897,6-5,77,185,Guard
